collection,wikipedia,wikidata,city,suggested_url,evidence,missing,summary_draft
Columbia University Center for Oral History Research,https://en.wikipedia.org/wiki/Columbia_Center_for_Oral_History_Research,Q5149899,,https://www.ccohr.incite.columbia.edu/,"the center holds 8,000 taped memoirs and 1,000,000 pages of transcripts from an oral history program",coordinates,"Founded by Pulitzer Prize winner Allan Nevins in 1948, this is the oldest oral history program. The center holds 8,000 taped memoirs and 1,000,000 pages of transcripts across both current and completed projects."
Chronicles of Terror (Zapisy Terroru),https://en.wikipedia.org/wiki/Chronicles_of_Terror,Q29002222,,https://www.zapisyterroru.pl/dlibra/publication/3968/edition/3948/content?navq=aHR0cDovL3d3dy56YXBpc3l0ZXJyb3J1LnBsL2RsaWJyYS9yZXN1bHRzP2FjdGlvbj1BZHZhbmNlZFNlYXJjaEFjdGlvbiZ0eXBlPS0zJnNlYXJjaF9hdHRpZDE9Nzcmc2VhcmNoX3ZhbHVlMT1JUE4lMjBHSyZwPTky&navref=MzI4OzMxbyAzM3g7MzNhIDMzZTszMnU,"The source states it provided access to 'depositions of Polish citizens who after World War II were interviewed as witnesses' and 'accounts of Poles who fell victim to repressions,' indicating oral testimony and witness accounts.",coordinates,"Chronicles of Terror is a digital internet archive established by the Witold Pilecki Center for Totalitarian Studies in August 2016. It provides access to depositions and accounts of Polish citizens interviewed as witnesses to German crimes in Poland after World War II, and from September 2017 also includes accounts of Poles who suffered Soviet totalitarian repressions."
Charles E. Stevens American Atheist Library and Archives,https://en.wikipedia.org/wiki/Charles_E._Stevens_American_Atheist_Library_and_Archives,Q5077187,Cranford,http://atheists.org/library,currently records oral histories of various intellectuals and lecturers,coordinates,"A collection of over 40,000 volumes of books, documents, and research tools founded by American Atheists. The library records oral histories of intellectuals and lecturers and holds historical pamphlets, leather-bound volumes, early free-thought publications, and other materials related to atheism and secularism."
British Entertainment History Project,https://en.wikipedia.org/wiki/British_Entertainment_History_Project,Q56290179,,http://historyproject.org.uk,"records and preserves interviews with people who have worked in British film, television, radio and theatre industries",coordinates,"The British Entertainment History Project records and preserves interviews with people who have worked in British film, television, radio and theatre industries over the last 100 years. The project aims to ensure that their lives and experiences are preserved for future generations."
Disability Visibility Project,https://en.wikipedia.org/wiki/Disability_Visibility_Project,Q105760367,,https://disabilityvisibilityproject.com/,"DVP is 'dedicated to creating, recording, sharing and amplifying disability culture, stories and media' in partnership with StoryCorps, which preserves 'stories through interviews,' with materials archived at the American Folklife Center",coordinates,"The Disability Visibility Project is an online community that creates, records, and shares disability stories and media through a partnership with StoryCorps. The platform consists of blog posts, podcast episodes, and disability media including oral histories in the form of tweets, radio stories, audio clips and images. Interviews are archived at the American Folklife Center at the Library of Congress."
StoryCorps,https://en.wikipedia.org/wiki/StoryCorps,Q3499893,Brooklyn,https://storycorps.org/,"StoryCorps records, preserves, and shares stories through oral history interviews; it has collected interviews with more than 645,000 participants across the United States.",coordinates,"StoryCorps is a non-profit organization that records and preserves oral history interviews from Americans across all 50 states, Washington D.C., and several American territories. Founded in 2003 by radio producer David Isay, it has collected interviews with more than 645,000 participants. The organization is modeled after the Works Progress Administration's oral history efforts of the 1930s."
West Point Center for Oral History,https://en.wikipedia.org/wiki/West_Point_Center_for_Oral_History,Q7986250,,http://www.westpointcoh.org/westpointcoh/about,"The source states this Center is 'devoted to capturing the story of the American soldier' and 'records interviews using state-of-the-art video technology,' establishing it as an oral history archive that produces recorded interviews.",coordinates,The West Point Center for Oral History is a video archive operated by the United States Military Academy that records interviews with American soldiers in both wartime and peacetime contexts. It produces documentary films using video technology to capture soldier narratives.
The Elstree Project,https://en.wikipedia.org/wiki/The_Elstree_Project,Q17152595,,http://theelstreeproject.org,"The source states it is 'an oral history project which began in 2010, interviewing cast and crew members'",coordinates,"An oral history project interviewing cast and crew members who worked at Elstree Studios, conducted by Howard Berry of the University of Hertfordshire and formerly involving Elstree Screen Heritage as a partner."
Voices of Oklahoma,https://en.wikipedia.org/wiki/Voices_of_Oklahoma,Q22909677,,http://voicesofoklahoma.com/about-voices-of-ok/mission-statement/,The source text states it is 'an online oral history project' that preserves 'first-person accounts' through oral histories.,coordinates,"Voices of Oklahoma is an online oral history archive preserving first-person accounts of Oklahoma's history and people. The collection includes accounts spanning ranching, politics, education, business, music, and arts, made accessible at voicesofoklahoma.com for educators, students, and researchers."
Veterans History Project,https://en.wikipedia.org/wiki/Veterans_History_Project,Q7923620,,http://www.loc.gov/vets/,"The source states the project was 'created to collect and preserve the firsthand remembrances of U.S. wartime veterans' and that 'the program is conducted through Congressional offices and relies on a national network of veteran service organizations, universities, secondary schools, community groups and the general public to record interviews.'",coordinates,"The Veterans History Project collects and preserves firsthand oral interviews and remembrances of U.S. wartime veterans, along with related letters, diaries, photos, memoirs and historic documents. Conducted through a national network of veteran service organizations, universities, schools and community groups, the project held more than 65,000 collections as of 2010 and is preserved at the Library of Congress."
USC Shoah Foundation Institute for Visual History,https://en.wikipedia.org/wiki/University_of_Southern_California_Libraries,Q7896339,,https://libraries.usc.edu/,"The source states that 'the testimonies of 52,000 survivors, rescuers and others involved in the Holocaust will now be housed in the USC College of Letters, Arts & Sciences as a part of the newly formed USC Shoah Foundation Institute for Visual History'—oral testimonies of Holocaust survivors and others.",coordinates,"The USC Shoah Foundation Institute for Visual History houses testimonies of 52,000 Holocaust survivors, rescuers, and others involved in the Holocaust. The collection was announced in June 2006 and is housed at the USC College of Letters, Arts & Sciences."
Black Women Oral History Project,https://en.wikipedia.org/wiki/Black_Women_Oral_History_Project,Q15129009,,https://www.radcliffe.harvard.edu/schlesinger-library/collection/black-women-oral-history-project,interviews with 72 African American women conducted under the auspices of the Schlesinger Library,coordinates,The Black Women Oral History Project consists of interviews with 72 African American women conducted from 1976 to 1981 under the Schlesinger Library of Radcliffe College. The interviews document African American women who made significant contributions to American society in the first half of the twentieth century.
Sound Heritage (Sound Heritage Series),https://en.wikipedia.org/wiki/Sound_Heritage_(journal_and_series),Q137686127,Victoria,,based primarily on oral history sources,official URL,"A quarterly journal and later series of historical monographs on British Columbia history, published 1974–1983 by the Aural History Program of the Provincial Archives of British Columbia and based primarily on oral history sources."
Maria Rogers Oral History Program,https://en.wikipedia.org/wiki/Maria_Rogers_Oral_History_Program,Q6761540,Boulder,,collects and archives oral histories,official URL,"The Maria Rogers Oral History Program collects and archives oral histories about Boulder County. The program began in 1976 with donated interviews and now includes more than 1,600 interviews, available on the internet and at the Boulder Public Library's Carnegie Branch Library for Local History."
Uysal–Walker Archive of Turkish Oral Narrative,https://en.wikipedia.org/wiki/Uysal%E2%80%93Walker_Archive_of_Turkish_Oral_Narrative,Q16959739,Lubbock,,The source text states it is 'a searchable archive of oral Turkish literature' that 'includes links to numerous audio recordings in MP3 format' of oral narrative.,official URL,"A searchable archive of oral Turkish literature housed at Texas Tech University. The archive contains audio recordings in MP3 format, images, and some academic articles in English documenting Turkish oral narrative."
Queens Memory Project,https://en.wikipedia.org/wiki/Queens_Memory_Project,Q7270783,New York City,,The source text states the project aims to 'record and preserve contemporary history' through 'oral history interviews' made accessible via website.,official URL,"The Queens Memory Project is a collaborative community archiving program between Queens College, CUNY and Queens Public Library that records oral history interviews and photographs of Queens residents. Materials are digitized and made searchable online alongside historical photographs, maps, and news clippings to document the lives and memories of borough residents."
Oral History Center,https://en.wikipedia.org/wiki/Regional_Oral_History_Office,Q7309112,Berkeley,,"OHC conducts, analyzes, teaches about, and preserves oral history interviews on a wide range of topics related to the history of California and the United States.",official URL,The Oral History Center at UC Berkeley's Bancroft Library conducts and preserves oral history interviews covering California and United States history. OHC staff use oral history as a central primary source for historical research and scholarship on a wide range of topics.
School of Scottish Studies,https://en.wikipedia.org/wiki/School_of_Scottish_Studies,Q7432567,Edinburgh,,"holds an archive of approximately 33,000 field recordings of traditional music, song and other lore",official URL,"The School of Scottish Studies, founded in 1951 at the University of Edinburgh, holds an archive of approximately 33,000 field recordings of traditional music, song and other lore. The collection was begun by Calum Maclean and Hamish Henderson, in collaboration with American folklorist Alan Lomax."
Hall–Carpenter Archives,https://en.wikipedia.org/wiki/Hall%E2%80%93Carpenter_Archives,Q5643244,London,,The source text states the archives are housed in part at the British Library (Sound Archive) with oral history tapes.,official URL,"The Hall–Carpenter Archives, founded in 1982, are the largest source for the study of gay activism in Britain. They are housed at the London School of Economics, Bishopsgate Library, and the British Library Sound Archive, which holds oral history tapes documenting activism following the Wolfenden Report of 1957."
Schweizerisches Volksliedarchiv,https://en.wikipedia.org/wiki/Schweizerisches_Volksliedarchiv,Q1362646,Basel,,"the source states the archive holds 'song collection' materials including 'German-language songs', songs from regions, and 'historical field recordings' of recorded oral tradition",official URL,"A Swiss folk song archive established in 1906 at the University of Basel, holding approximately 31,000 German-language songs, 3,200 from Romandy, 1,400 from Ticino, and 1,200 Rhaeto-Romanic songs. The collection was expanded through bequests including historical field recordings on records and tapes."
The Belfast Project,https://en.wikipedia.org/wiki/Belfast_Project,Q123460080,Boston,,the project 'collected confidential testimonies from Republican and Loyalist participants' as an 'oral history initiative' documenting 'personal experiences',official URL,"An oral history project based at Boston College that collected confidential testimonies from paramilitaries on both sides of the Northern Ireland conflict (the Troubles). Launched in 2000 and concluding interviews in 2006, it involved around 50 interviews with releases intended only after participants' deaths to serve as historical resources."
Southern Historical Collection,https://en.wikipedia.org/wiki/Southern_Historical_Collection,Q7569996,Chapel Hill,,The source text explicitly lists 'oral histories' among the primary materials held by the collection.,official URL,"The Southern Historical Collection is a repository of archival collections at the University of North Carolina at Chapel Hill documenting the culture and history of the American South. The collections contain unique primary materials including manuscripts, letters, photographs, diaries, drawings, scrapbooks, journals, oral histories, maps, ledgers, moving images, literary manuscripts, and albums."
Berliner Phonogramm-Archiv,https://en.wikipedia.org/wiki/Berliner_Phonogramm-Archiv,Q821680,Berlin,,"The source states the institution holds 'ethnomusicological recordings or world music' assembled as a collection, which constitutes recorded oral tradition and field sound recordings of people singing.",official URL,"The Berliner Phonogramm-Archiv is a collection of ethnomusicological recordings and world music assembled since 1900 in Berlin, Germany. The collection is primarily held on phonographic cylinders."
North West Sound Archive,https://en.wikipedia.org/wiki/North_West_Sound_Archive,Q25189292,Manchester,,described as an archive of sound recordings,official URL,"The North West Sound Archive was founded in Manchester in 1979 and held over 140,000 sound recordings, making it the largest archive of sound recordings in the UK outside London. It was relocated to Clitheroe in 1982 and later closed in 2015, with materials dispersed to Manchester Central Library, Liverpool Central Library, and Lancashire Archives."
The Maid Narratives: Black Domestics and White Families in the Jim Crow South,https://en.wikipedia.org/wiki/The_Maid_Narratives,Q139964744,,,"The source text states the work presents 'recorded memories of African American women' and describes 'interviewing more than fifty people,' documenting oral histories and recollections of speakers.","official URL, coordinates","A 2012 collection of oral histories by Katherine van Wormer, David W. Jackson III, and Charletta Sudduth presenting recorded memories of African American women who worked as maids, cooks, and caretakers in the segregated South, alongside recollections of white southerners who grew up in households that employed them. The interviews document domestic service under Jim Crow, including labor practices, racial etiquette, and relationships between servants and employers, with most participants having ties to the Great Migration from rural Mississippi to Iowa."
Southern Oral History Program,https://en.wikipedia.org/wiki/Southern_Oral_History_Program,Q7570231,Chapel Hill,,dedicated to collecting and preserving oral histories from across the southern United States,"official URL, coordinates","The Southern Oral History Program is a research institution located in Chapel Hill, North Carolina, dedicated to collecting and preserving oral histories from across the southern United States."
Palestinian Rural History Project,https://en.wikipedia.org/wiki/Palestinian_Rural_History_Project,Q118943756,,,The source states the PRHP is 'an ethnographic fieldwork and oral history preservation initiative' that 'records oral testimonies',"official URL, coordinates","The Palestinian Rural History Project is an oral history preservation initiative documenting Palestinian rural history and heritage from the Late Ottoman period (before 1917) through the British Mandate period (1918–1948) and beyond. It records oral testimonies covering historical geography, genealogies, toponymy, archaeology, agricultural practices, traditions and lore. A subsidiary initiative, the Golan/Jawlan Oral History Corpus, documents rural society, historical geography, and memories of displacement in that region."
An Oral History of British Science,https://en.wikipedia.org/wiki/Oral_History_of_British_Science,Q7099362,,,oral history project conducted by National Life Stories...focuses on audio interviews with British science and engineering figures,"official URL, coordinates","An oral history project conducted by National Life Stories at the British Library that began in 2009 with funding from the Arcadia Fund, the Royal Commission for the Exhibition of 1851, and private donors. It consists of audio interviews with British science and engineering figures."
The Full English,https://en.wikipedia.org/wiki/The_Full_English_(folk_music_archive),Q16931158,,,"The source states it is a digital archive of English folk song collections, which are recorded oral tradition and sung performances.","official URL, coordinates",The Full English is an ongoing English Folk Dance and Song Society project launched in 2013 to create a searchable digital archive of English folk song collections from the early 20th century. The project preserves and improves accessibility to these folk music resources.
Transgender Oral History Project,https://en.wikipedia.org/wiki/Transgender_Oral_History_Project,Q7834220,,,collects interviews and produces multimedia content featuring stories of transgender-identified people,"official URL, coordinates","The Transgender Oral History Project collects interviews and multimedia content featuring stories of transgender-identified people. It aims to empower trans folks through sharing their life stories and hosts community events in multiple states including Massachusetts, Illinois, Iowa, Seattle, Philadelphia, and New York City."
7 Billion Others,https://en.wikipedia.org/wiki/7_Billion_Others,Q4642541,,,"Each video features a single person telling the viewer about their life, often in their native language; over 5000 individuals have had their testimonials recorded.","official URL, coordinates","A video series by Yann Arthus-Bertrand in which individual people recount their lives, often in their native language. Since 2003, over 5000 testimonials have been recorded with the stated aim of helping people understand each other through listening."
Cantigny First Division Oral Histories,https://en.wikipedia.org/wiki/Cantigny_First_Division_Oral_Histories_Collection,Q5033818,,,The source text states these are 'video oral history interviews' that 'preserve the memories of soldiers' and 'provide first-hand resources for scholarly research.',"official URL, coordinates","A collection of video oral history interviews with veterans of the United States Army's 1st Infantry Division, conducted by Ball State University students under faculty supervision. The interviews document soldiers' experiences during the Vietnam War, Persian Gulf War, Korean War, and Cold War, with forty veterans from Indiana, Ohio, and Kentucky recorded in 2008."
AJR Refugee Voices Testimony Archive,https://en.wikipedia.org/wiki/AJR_Refugee_Voices_Testimony_Archive,Q131850701,,,contains 300+ oral history video interviews with Jewish survivors,"official URL, coordinates","The oral history collection of The Association of Jewish Refugees (AJR), comprising over 300 video interviews with Jewish survivors of National Socialism living in the United Kingdom."
Archive on 4,https://en.wikipedia.org/wiki/Archive_on_4,Q15642800,,,"draws on archive sources from the BBC Sound Archive and beyond, to explore a variety of subjects","official URL, coordinates",Archive on 4 is a BBC Radio 4 documentary series that draws on archive sources from the BBC Sound Archive and beyond to explore various subjects. The hour-long programmes feature a range of guest presenters and occasionally take the form of montage documentaries without a presenter.
BBC Sound Archive,https://en.wikipedia.org/wiki/BBC_Sound_Archive,Q4834961,,,"The source states the archive includes 'contemporary speeches by public and political figures, folk music, British dialects and sound effects' — recordings of people speaking and singing.","official URL, coordinates","The BBC Sound Archive is a collection of audio recordings founded in 1936, with materials dating back to the late 19th century. It includes contemporary speeches by public and political figures, folk music, British dialects, and sound effects."
Bay Area Holocaust Oral History Project,https://en.wikipedia.org/wiki/Bay_Area_Holocaust_Oral_History_Project,Q4873910,,,"gathered oral life histories of Holocaust survivors, liberators, rescuers, and eyewitnesses to the Holocaust","official URL, coordinates","The Bay Area Holocaust Oral History Project gathered oral life histories of Holocaust survivors, liberators, rescuers, and eyewitnesses. It maintained a catalogue database for public access to support students, scholars, resource centers, and the general public. The project used recorded personal testimony to counteract Holocaust denial, hate crimes, and antisemitism."
British Library Sounds,https://en.wikipedia.org/wiki/British_Library_Sounds,Q4970291,,,"provides free online access to a diverse range of spoken word, music and environmental sounds from the British Library Sound Archive","official URL, coordinates","British Library Sounds is a service providing online access to over 50,000 digitised recordings of spoken word, music, and environmental sounds, with an additional 22,000 recordings available to UK higher and further education users. The collection includes more than 20,000 hours of audio material that can be searched by keywords, collection types, dates, languages, performer names, and subjects, with images and transcripts available for some recordings."
Northside Hip Hop Archive,https://en.wikipedia.org/wiki/Northside_Hip_Hop_Archive,Q109984885,,,the archive digitizes oral histories and analog recordings,"official URL, coordinates","A digital archive of Canadian hip hop culture from the 1980s and 1990s that preserves oral histories, event flyers, posters, street magazines, album covers, newspaper articles, graffiti, and analog recordings from the pioneering years of the Canadian hip hop scene."
Federal Writers' Project,https://en.wikipedia.org/wiki/Federal_Writers%27_Project,Q1400092,,,"The source text states the FWP 'produced hundreds of publications, including state guides, city guides, local histories, oral histories, ethnographies, and children's books.'","official URL, coordinates","The Federal Writers' Project was a New Deal program launched in 1935 to employ out-of-work writers and document American history by state and locality. It produced oral histories, ethnographies, state and city guides, local histories, and children's books, employing thousands of writers, librarians, clerks, researchers, editors, and historians."
Forgotten Voices,https://en.wikipedia.org/wiki/Forgotten_Voices,Q5469766,,,The source states it is 'a series of audio tapes and books' with 'thousands of interviews with people who survived wars' held by the Imperial War Museum.,"official URL, coordinates","Forgotten Voices is an audio and book series produced by the Imperial War Museum comprising thousands of interviews with survivors of 20th-century wars involving Britain. Each volume focuses on a specific conflict or military operation, compiled by individual editors who contextualize archive extracts with introductory chapters."
Geographers on Film,https://en.wikipedia.org/wiki/Geographers_on_Film,Q5535041,,,archival collection and series of more than 550 filmed interviews with experts,"official URL, coordinates",Geographers on Film is an archival collection of more than 550 filmed interviews with geographic scholars. The series represents a 40-year long initiative.
NAMM Oral History Program,https://en.wikipedia.org/wiki/NAMM_Oral_History_Program,Q17091115,,,archive of recordings of interviews with people from all aspects of the music products industry,"official URL, coordinates","An oral history archive established by NAMM: The International Music Products Association containing over 5,000 audio or video interviews with musicians, music educators, instrument creators, retailers, and other industry professionals. The collection is available to the public via online streaming and was created to preserve the history of the music products industry and improve music education worldwide."
Indian-Pioneer Project,https://en.wikipedia.org/wiki/Indian-Pioneer_Project,Q141306808,,,"produced 8,000 oral histories of people who were present in Oklahoma and Indian Territory before 1900","official URL, coordinates","A New Deal-era WPA work-relief program in Oklahoma that produced 8,000 oral histories documenting people's experiences in Oklahoma and Indian Territory before 1900. The project was a subprogram of the Federal Writers' Project or the Historical Records Survey."
National Day of Listening / StoryCorps,https://en.wikipedia.org/wiki/National_Day_of_Listening,Q6972135,,,"The source text states StoryCorps 'collecting and archiving interviews' and describes the National Day of Listening as a project where 'Americans interviewed one another' and recorded stories, with NPR personalities conducting and broadcasting interviews.","official URL, coordinates","The National Day of Listening is an annual observance launched by StoryCorps in 2008 that encourages Americans to record oral histories of their families, friends, and local communities. StoryCorps collects and archives these interviews at the American Folklife Center at the Library of Congress. The initiative recurs on the Friday after Thanksgiving and has involved tens of thousands of participants, including public figures and NPR broadcasters."
Witness seminar,https://en.wikipedia.org/wiki/Witness_seminar,Q29428385,,,"a method of collecting oral history material, whereby a number of people connected to an event or topic meet to share recollections of their involvement","official URL, coordinates","Witness seminars are a method for collecting oral history in which people connected to an event or topic meet to share recollections of their involvement. Results may be recorded or videotaped and an edited transcript published. The concept was conceived by the Institute of Contemporary British History and adopted by The History of Modern Biomedicine Group, published as the Wellcome Witnesses to Contemporary Medicine series."
Society for Ethnomusicology,https://en.wikipedia.org/wiki/Society_for_Ethnomusicology,Q7552119,Philadelphia,http://www.ethnomusicology.org/,"The source states the society's mission includes 'performance of music in all historical periods and cultural contexts' and mentions the Ethno-musicology Newsletter contained 'notes about current field research projects' and 'a list of recordings of interest,' indicating it holds or produces recorded music and field sound recordings.",rejected in review,"The Society for Ethnomusicology, officially founded in 1955, is one of three major international associations for ethnomusicology. It promotes research, study, and performance of music in all historical periods and cultural contexts, and produces the Ethno-musicology Newsletter containing notes on field research projects and recordings of interest to the discipline."
National Archives of Zimbabwe,https://en.wikipedia.org/wiki/National_Archives_of_Zimbabwe,Q2860554,Harare,http://www.archives.gov.zw/,Its Oral History Programme collects and preserves oral interviews of people whose contribution to Zimbabwean history has been considerable but under-documented.,rejected in review,"The National Archives of Zimbabwe maintain an Oral History Programme that collects and preserves oral interviews of individuals with significant but under-documented contributions to Zimbabwean history. The institution also operates an Audiovisual Unit established in 1988, which holds approximately 15,000 audiovisual materials about Zimbabwe."
West Virginia & Regional History Center,https://en.wikipedia.org/wiki/West_Virginia_%26_Regional_History_Center,Q7986943,,https://wvrhc.lib.wvu.edu/,"holds oral histories, films and folk music recordings",rejected in review,"The WVRHC is the Special Collections division of WVU Libraries and the largest archival collection on West Virginia and central Appalachian history. It holds over 36,000 linear feet of manuscripts, 100,000 books, 100,000 pamphlets, 1,200 newspaper titles, over 1 million photographs and prints, 5,000 maps, 40,000 microfilms, oral histories, films, and folk music recordings. The Center provides access to and preserves information on the history and cultural aspects of West Virginia and the central Appalachian Region through donations."
American Radio Archives,https://en.wikipedia.org/wiki/American_Radio_Archives,Q4744785,Thousand Oaks,https://www.americanradioarchives.com/,"The source states the archives contain 'sound recordings' and 'audio recordings' related to radio broadcasting history, and house 'materials related to the history of radio and radio broadcasting.'",rejected in review,"American Radio Archives holds one of the largest collections of radio broadcasting materials in the United States, including 23,000 radio and TV scripts, 10,000 photographs, 10,000 books on radio history, 5,000 audio recordings, and manuscripts. The archives were established in 1984 by the Thousand Oaks Library Foundation and expanded significantly with materials from the Pacific Pioneer Broadcasters organization."
Indiana University Archives of Traditional Music,https://en.wikipedia.org/wiki/Archives_of_Traditional_Music,Q55263973,,https://www.libraries.indiana.edu/archives-traditional-music,"holds over 100,000 individual audio and video recordings of field, broadcast, and commercial recordings relating to ethnomusicology, folklore, anthropology, linguistics, and area studies",rejected in review,"The Indiana University Archives of Traditional Music holds over 100,000 audio and video recordings across more than 3500 collections. The holdings are primarily focused on audiovisual recordings relating to ethnomusicology, folklore, anthropology, linguistics, and various area studies, drawing from field, broadcast, and commercial sources."
National Film and Sound Archive of Australia,https://en.wikipedia.org/wiki/National_Film_and_Sound_Archive,Q2565882,Canberra,http://www.nfsa.gov.au/,"The source states the institution preserves 'sound, radio' materials and is responsible for 'providing access to a national collection of film, television, sound, radio, video games, new media, and related documents and artefacts,' which includes recorded sound and radio content containing spoken word and voices.",rejected in review,"Australia's national audiovisual archive preserving film, television, sound, radio, video games, and related materials from the late nineteenth century to the present day. The collection originated in 1935 as the National Historical Film and Speaking Record Library within the Commonwealth National Library, becoming an independent organization in 1984."
Marr Sound Archives,https://en.wikipedia.org/wiki/Marr_Sound_Archives,Q6772768,Kansas City,https://library.umkc.edu/sca/marr/,The archives hold 'historic voices and authors reading their own works' and 'vintage radio programs' — recorded spoken word and vocal materials,rejected in review,"The Marr Sound Archives holds over 400,000 recordings including jazz, blues, country, popular music, classical and opera, historic voices of authors reading their own works, and vintage radio programs across formats ranging from cylinders and 78s to modern cassettes and open-reel tape. The collection was established from a 1987 donation by Olga and Gaylord Marr and is housed at the University of Missouri-Kansas City's Miller Nichols Library."
Nettie Lee Benson Latin American Collection,https://en.wikipedia.org/wiki/Benson_Latin_American_Collection,Q19866695,Austin,https://www.lib.utexas.edu/about/locations/benson,The Collection is the home of interviews collected by the Voces Oral History Center.,rejected in review,"A comprehensive collection of Latin American materials housed at the University of Texas Library, containing over 970,000 books, 19,000 maps, 93,500 photographs, manuscripts, broadsides, and multimedia items. Most materials focus on Texas and Mexico, with additional coverage of Central America, Chile, Peru, and Brazil. The collection is home to interviews collected by the Voces Oral History Center."
British Library Sound Archive,https://en.wikipedia.org/wiki/British_Library_Sound_Archive,Q4970294,London,http://sounds.bl.uk/,"holds recorded sound including music, spoken word and ambient recordings, with radio broadcasts and privately made recordings",rejected in review,"The British Library Sound Archive holds more than six million recordings of music, spoken word, and ambient sound, including commercial record releases, radio broadcasts from the BBC, and privately made recordings. It is among the largest collections of recorded sound in the world."
